,,,,,,,,,km2,km2,,%,%,%,%,yr,,ug/L,,,m,,ug L-1,mg/L,g C m2 yr,%,load,,retention,g/m2/yr,,,,,,,,,g/m2/yr,,,,%,,,,,,,,,,,,,,,,,,
Oliver_notes,status,Site,Primary_reference,Type,Location,latitude,longitude,Sub_location,Watershed_area,Lake_area,period,propNO3retention,propNH4retention,propDINretention,propTONretention,restime_y,logR,TP_ugL,LogTP,Status,zbar_m,h_myr1,Chla_ugL,DOC_mgL,Pprates_gCm2yr,PercTN_retention,Nload_gm2y,logNload,Nretention_gm2y,denitrifcation,p_mass_units,p_conc_units,tp_in_mass,tp_in_conc,tp_out_mass,tp_out_conc,PercP_retention,RpminusRn,inorganicload,organicload,inorganicremoval,organicremoval,PercOrganicLoad,PercInorganicLoad,Notes,,,,,,,,,,,,,,,,
,0,Crosson,Molot and Dillon 1993,,Canada,,,,5.2,0.567,1977 to 1989,0.300785634,0.762839879,0.497746297,0.25,1.616871705,0.208675561,10.60,1.03,O,9.2,5.69,,4.27,,0.36,3.45,0.537819095,1.242,,,,,,,,,,1.55,1.9,0.771506761,0.475,0.55,0.45,,,,,,,,,,,,,,,,,
,0,Danube,Teodoru and Wehrli 2005,,Europe,,,,577250,104.4,2001,,,,,0.01,-2,80.00,1.90,E,17.26,1726,,,,-0.17,2029.00,3.307282047,-344.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Dickie,Molot and Dillon 1993,,Canada,,,,4.1,0.94,1977 to 1989,0.679566563,0.794183445,0.726440988,0.32,1.831501832,0.262807357,9.70,0.99,O,5,2.73,,5.23,,0.51,2.26,0.354108439,1.1526,,,,,,,,,,1.10,1.16,0.799085087,0.3712,0.51,0.49,,,,,,,,,,,,,,,,,
recalculated budgets (did not report numbers from table 6) - retention calculated as in-out/in,1,Findley,Likens and Loucks 1978,lake,United States,47.63333,-121.3667,Washington,15.6,1.37,1975,,,0.21,,0.14,-0.853871964,5.00,0.70,O,7.8,55.71428571,1,,2.5,0.26,5.61,0.748962861,1.0098,,g m2 y,,0.204,,0.139,,0.32,0.04,2.235,3.375,0.425,0.575,0.601604278,0.398395722,,,,,,,,,,,,,,,,,
,0,Geddes Pond,Ferris and Lehman 2008,Reservior,United States,,,"Huron River, MI",2000,1.532,,,,,,0.009589041,-2.01822482,40.00,1.60,E,,,,,,,1284.5953,3.108766329,-19.19060052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,harp,Molot and Dillon 1993,,Canada,,,,4.7,0.71,1977 to 1989,0.521882742,0.868525896,0.623467601,0.31,3.220338983,0.507901589,6.00,0.78,O,13.3,4.13,,3.81,,0.48,3.12,0.494154594,1.4976,,,,,,,,,,1.72,1.4,1.072364273,0.434,0.45,0.55,,,,,,,,,,,,,,,,,
,1,Harp 4 Beaver pond,Devito et al. 1989,beaver pond,Canada,45.3833,-79.1333,Ontario,0.058,0.038,,0.54,0.01,0.33,-0.16,0.080290737,-1.095334556,,,,1,12.45473684,,,,0.04,3.41,0.532754379,0.1364,,g m2 y,,0.145,,0.135,,0.07,0.03,1.41,1.99,0.467,-0.32,0.58,0.41,,,,,,,,,,,,,,,,,
,1,Kinneret,Smith et al. 1989,lake,Israel,32.811436,35.596913,,2730,166,1974-1984,,,,,5.5,0.740362689,24.00,1.38,M,25,4.545454545,,,,0.74,9.548192771,0.979921179,7.065662651,,t y,,120,,11,,0.91,0.17,,,,,,,,,,,,,,,,,,,,,,,
,3,Lago Mergozzo,Calderoni et al.,,Italy,,,,10.43,1.82,,0.402869757,,,,4.7,0.672097858,6.50,0.81,O,45.4,9.659574468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,Lappajarvi,"Malve, unpublished, cited in Ekholm 1997",,Finland,,,,,142,,,,,,2.8,0.447158031,,,,7.4,2.642857143,,,,0.59,,,,,,,,,,,0.78,0.19,,,,,,,,,,,,,,,,,,,,,,,
no p input data in Kvarnas,1,Malaren,Kvarnas 2001,lake,Sweden,59.439684,17.456451,,22603,1096,,,,,,2.8,0.447158031,40.00,1.60,E,12.8,4.571428571,,,,0.56,,,,,,,,,,,0.7,0.14,,,,,,,,,,,,,,,,,,,,,,,
use Carpenter and Lathrop instead,0,Mendota,Wetzel,,United States,,,,562,39.85,,,,,,4.5,0.653212514,110.00,2.04,E,12.7,2.822222222,,6.4,,0.796351085,5.089084065,0.706639625,4.052697616,,,,,,,,,,,,,,,,http://www.nrcresearchpress.com/doi/abs/10.1139/f97-095,,,,,,,,,,,,,,,,
incomplete,0,Michigan,Ayers 1970,,United States,,,,118000,57800,1962-1964,0.948526077,0.918783542,0.93,,100,2,7.00,0.85,O,84,0.84,,,,,,,,,,,,,,,,,,,,,0.28,0.72,,,,,,,,,,,,,,,,,
recalculated budgets (did not report numbers from table 6) - retention calculated as in-out/in,1,Mirror Lake,Likens and Loucks 1978,lake,United States,43.95,-71.7,New Hampshire,1,0.15,1970-75,0.579310345,,,,1.001,0.000434077,9.00,0.95,O,5.7,5.694305694,1.9,1.8,60,0.4,1.52,0.181843588,0.463,,g m2 y,,0.148,,0.014,,0.91,0.64,,,,,,,,,,,,,,,,,,,,,,,
,1,Mollegard,Fleischer et al. 1994,Reservior,Sweden,56.668076,12.762601,,47,0.01,,,,,,0.0009,-3.045757491,,,,1.5,1666.666667,,,,0.063,10822.25,4.034317562,678.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Nedre Lundetjenn,Kaste 2005 CJFAS,lake,Norway,58.36667,8.45,,2.55,0.078,1999-2001,0.14,0.1,0.133,-0.06,0.19,-0.721246399,8.99,0.95,O,8.5,1.38,,5.5,,0.073,28.56,1.455758203,2.08488,,mmol m2 y,,13.55,,9.35,,0.31,0.237,19.71,8.8536,2.6209512,-0.531216,0.31,0.69,,,,,,,,,,,,,,,,,
,1,Nedre Lundetjenn (pretreat),Kaste 2005 CJFAS,lake,Norway,58.36667,8.45,,2.55,0.078,1998,0.17,0.29,0.19,,0.19,-0.721246399,4.03,0.61,O,8.5,44.73684211,,5.5,,,,,,,mmol m2 y,,5.56,,5.05,,0.09,,,,,,,,,,,,,,,,,,,,,,,,
