"Data from Brooks, J. R., et al. (2014). ""Stable Isotope estimates of lake water evaporation:inflow and residence time for lakes across the United States as a tool for national lake water quality assessments."" Limnology and Oceanography 59(6): 2150-2165.",,,,,,,,,,,
SITE_ID,VISIT_NO,DATE_COL,E_I,RT,LON_DD,LAT_DD,LAKEAREA (km2),DEPTHMAX (m),Lake_Vol (m3),ELEV_PT (m),BASINAREA_KM2
NLA06608-0234,1,8/23/2007,0.675,2.68,-85.46799659,43.21855689,0.205902443,6.8,500215.3367,224.37,5.51
NLA06608-0235,1,7/16/2007,0.187,3.23,-85.75477789,41.3229061,3.231371464,33,36265740.7,250.67,296.91
NLA06608-0237,1,6/26/2007,0.403,0.41,-115.1177953,38.38849036,0.722841591,2.2,456569.0348,1574.3,450.34
NLA06608-0238,1,7/11/2007,0.718,12.59,-94.17531685,46.57881675,33.75871224,28,336465974.9,367.79,83.05
NLA06608-0239,1,7/24/2007,0.034,0.13,-85.55980719,35.01895093,31.77007136,16.5,91053806.63,193.18,58589.13
NLA06608-0240,1,7/25/2007,0.096,1.3,-107.5902123,48.47756954,16.65988717,10.2,35755110.03,677.97,88.49
NLA06608-0241,1,8/15/2007,0.16,0.3,-111.7292621,42.29154287,1.702226844,4,1651657.208,1487,11329.03
NLA06608-0242,1,8/2/2007,0.136,0.19,-71.91051169,41.56832304,3.201372478,3,2935673.656,47.73,134.55
NLA06608-0243,1,7/18/2007,0.105,0.64,-100.7421974,44.73647289,1341.339019,20.7,5251022656,490.37,615207.04
NLA06608-0244,1,6/20/2007,0.409,1.33,-99.23199838,33.73938795,61.40977218,12.4,193538062.3,360.62,5271.53
NLA06608-0245,1,7/24/2007,0.277,1.11,-122.1300516,38.36396781,1.527359691,9.5,4968974.257,118.31,42.41
NLA06608-0247,1,7/17/2007,0.499,1.32,-96.96004,43.53474213,0.878914013,4.5,1437377.86,473.98,15.99
NLA06608-0253,1,8/8/2007,0.207,0.13,-81.83068716,32.47736836,0.076600246,1.8,45497.62617,62.25,2.62
