state,name,county,storet_code,source
SOUTH CAROLINA,LAKE GREENWOOD,"GREENWOOD, LAURENS, NEWBERRY",4504,475
SOUTH CAROLINA,LAKE HARTWELL,ANDERSON OCONEEO PICKENS SC FRANKLIN HART STEPHENS GA,4505,475
SOUTH CAROLINA,LAKE KEOWEE,OCONEE PICKENS,4513,475
SOUTH CAROLINA,LAKE MARION,BERKELEY CALHOUN CLARENDON ORANGEBURG SUMTER,4506,475
SOUTH CAROLINA,LAKE MOULTRIE,BERKELEY,4512,475
SOUTH CAROLINA,LAKE MURRAY,FAIRFIELD LEXINGTON NEWBERRY SALUDA RICHLAND,4507,475
SOUTH CAROLINA,LAKE ROBINSON,CHESTERFIELD DARLINGTON,4508,475
SOUTH CAROLINA,SALUDA LAKE,GREENVILLE PICKENS,4515,475
SOUTH CAROLINA,LAKE SECESSION,ABBEVILLE ANDERSON,4514,475
SOUTH CAROLINA,WATEREE LAKE,FAIRFIELD KERSHAW LANCASTER,4510,475
SOUTH CAROLINA,LAKE WYLIE,YORK SC GASTON HECKLENBURG NC,4511,475
TENNESSEE,BARKLEY LAKE,STEWART MONTGOMERY TRIGG LYON KY,4701,475
TENNESSEE,BOONE RESERVOIR,WASHINGTON SULLIVAN CARTER,4704,475
TENNESSEE,SOUTH HOLSTON RESERVOIR,SULLIVAN IN WASHINGTON VA,4725,475
TENNESSEE,CHEATHAM RESERVOIR,CHEATHAM DAVIDSON,4706,475
TENNESSEE,OLD HICKORY RESERVOIR,DAVIDSON RUTHERFORD; SMITM SUMNER TROUSDALE WILSON,4720,475
TENNESSEE,J PERCY PRIEST HES,DAVIDSON RUTHERFORD,4723,475
TENNESSEE,CHEROKEE LAKE,JEFFERSON HAMBLEN GRAINGER HARKINS,4707,475
TENNESSEE,CHICKAMAUGA RESERVOIR,HAMILTON RHEA MEIGS MCMINN,4708,475
TENNESSEE,FT LOUDON RESERVOIR,LOUDON KNOX BLOUNT,4712,475
TENNESSEE,NICKAJACK RESERVOIR,MARION HAMILTON,4717,475
TENNESSEE,WATTS BAR RESERVOIR,CUMBERLAND LOUDON MEIGS RHEA ROANE,4722,475
TENNESSEE,DOUGLAS LAKE,SEVIER JEFFERSON COCKE,4711,475
TENNESSEE,GREAT FALLS LAKE,WHITE VAN BUREN,4713,475
TENNESSEE,REELFOOT LAKE,OBION,4727,475
TENNESSEE,TIMS FORD RESERVOIR,FRANKLIN MOORE,4724,475
TENNESSEE,WOODS RESERVOIR,FRANKLIN COFFEE,4728,475
VIRGINIA,LAKE CHESDIN,AMELIA CHESTERFIELD DINWIDDIE,5111,475
VIRGINIA,CHICKAHOMINY LAKE,NEW KENT CHARLES,5112,475
VIRGINIA,CLAYTOR LAKE,PULASKI,5103,475
VIRGINIA,JOHN H KERR RES,HALIFAX MECKLENBURG VA; GRANVILLE VANCE WARREN NC,5106,475
VIRGINIA,JOHN W FLANNAGAN RES,DICKENSON,5105,475
